course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating,year_published
753610,Trading mit kleinen Konten - Grundlagen die du kennen musst,Pago,80,74,4,20,Beginner Level,3.5,2017-03-29,Business Finance,German,3.9,2017
616564,entiende la contabilidad y consigue un aumento de salario,Pago,20,260,18,17,Beginner Level,1.5,2015-09-23,Business Finance,Spanish,4.23,2015
596026,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,Pago,95,299,5,65,All Levels,2.5,2015-11-12,Business Finance,English,4.23,2015
1264512,Trading Forex  - L'analyse des volumes,Pago,70,4,3,13,All Levels,2.0,2017-06-29,Business Finance,French,4.9,2017
499504,Disminuye deudas en tu hogar en menos de 30 días,Pago,20,65,3,15,Beginner Level,1.5,2015-05-19,Business Finance,Spanish,4.23,2015
903326,CPA 10 COMPLETO,Pago,25,101,25,18,All Levels,5.0,2016-08-10,Business Finance,Portuguese,4.23,2016
412108,Trading Intradiario basado en Precio y Volumen,Pago,40,92,15,19,Intermediate Level,1.5,2015-02-18,Business Finance,Spanish,4.1,2015
865630,Aprenda Cálculo Financeiro de Forma Simples,Pago,20,76,14,21,All Levels,2.0,2016-06-02,Business Finance,Portuguese,3.5,2016
1210062,Wie funktionieren Bitcoin? Ein Einführungskurs.,Pago,20,14,4,14,Beginner Level,0.62,2017-05-10,Business Finance,German,4.23,2017
1180960,Estruturação Financeira,Pago,45,18,3,18,All Levels,3.5,2017-05-08,Business Finance,Portuguese,4.7,2017
660846,Five steps to becoming a winner in stock investing,Pago,20,21,1,28,All Levels,3.0,2015-11-06,Business Finance,English,4.23,2015
829206,Financial Accounting Plus Excel and SAP Crash Course.,Pago,20,18,2,11,Beginner Level,1.0,2016-05-23,Business Finance,English,4.0,2016
385604,Introduction to Financial Consolidation under IFRS,Pago,25,21,3,8,All Levels,1.5,2016-12-05,Business Finance,English,2.7,2016
302468,How to read a Profit & Loss Account and Balance Sheet,Pago,20,49,10,13,All Levels,2.0,2014-09-22,Business Finance,English,4.1,2014
331600,Learn Bookkeeping From Scratch,Pago,20,168,2,21,All Levels,3.0,2014-11-05,Business Finance,English,4.23,2014
557436,ACCA MA1 Management Information,Pago,50,16,1,48,Beginner Level,3.5,2015-08-24,Business Finance,English,4.5,2015
1162656,Introduction to Bitcoin for Beginners,Pago,20,2,1,7,Beginner Level,0.57,2017-04-28,Business Finance,English,4.23,2017
389834,Stock Trading: Ultimate Guide to swing trading stocks,Pago,200,336,6,13,All Levels,0.68,2016-10-25,Business Finance,English,4.1,2016
304414,Bookkeeping Systems,Pago,20,20,1,9,All Levels,1.0,2014-09-22,Business Finance,English,3.9,2014
55136,Precious Metal Equities,Pago,20,28,1,8,All Levels,1.0,2013-05-26,Business Finance,Catalan,4.23,2013
619792,Start Now: A Rescue Plan for Retirement Late Savers,Pago,150,11,1,15,All Levels,0.65,2016-11-19,Business Finance,English,4.23,2016
505144,Eu Funding: Module 2 - Introduction to Horizon 2020,Pago,20,11,1,6,Intermediate Level,1.0,2015-05-20,Business Finance,English,4.23,2015
688244,How I Make Money Writing About Stocks Online,Pago,195,360,24,12,Beginner Level,2.5,2015-12-18,Business Finance,English,4.1,2015
642060,Tradeonomics - Four Steps to Mastering Economic Indicators,Pago,20,1189,13,41,All Levels,4.0,2016-04-01,Business Finance,English,4.23,2016
114518,Improve Your Financial Literacy,Gratis,0,9995,96,10,All Levels,2.0,2014-02-10,Business Finance,English,4.23,2014
1050168,Forex Trading : Power Of Moving Averages,Pago,200,100,24,33,All Levels,4.0,2017-01-02,Business Finance,English,4.23,2017
666910,Demystifying Your Personal Tax Return,Gratis,0,3426,27,14,Beginner Level,1.0,2015-11-25,Business Finance,English,4.23,2015
158830,Samuel and Co Trading - Stock & Forex Trading,Pago,50,592,109,24,All Levels,5.5,2014-02-10,Business Finance,English,4.8,2014
